Sample	r_processed	r_with_adapters	bp_processed	quality_trimmed	bp_written	percent_trimmed
USC_01_494147_S15_L001_R1_001	52179775	23411349	7879146025	10246738	7715390545	2.0783404632991305
USC_01_494147_S15_L001_R2_001	52179775	30092974	7879146025	15881435	7709090180	2.1583029995944263
USC_02_53755_S16_L001_R1_001	34931915	15898700	5274719165	6968303	5152383436	2.319284215390072
USC_02_53755_S16_L001_R2_001	34931915	20285390	5274719165	10816228	5150480858	2.355353965086405
USC_03_740189_S17_L001_R1_001	33700513	15502654	5088777463	6632596	4968767084	2.3583341946584158
USC_03_740189_S17_L001_R2_001	33700513	19624086	5088777463	10933220	4966883678	2.3953451666196393
USC_04_20438_S18_L001_R1_001	32814050	14861130	4954921550	6569456	4845019538	2.2180373774030793
USC_04_20438_S18_L001_R2_001	32814050	18991921	4954921550	10393605	4841158412	2.295962445661728
USC_05_495067_S19_L001_R1_001	34441720	15502911	5200699720	6720331	5081884186	2.284606695192931
USC_05_495067_S19_L001_R2_001	34441720	19824025	5200699720	11684790	5082444714	2.2738287608729695
USC_06_73887_S20_L001_R1_001	38849393	17689663	5866258343	7481582	5731251417	2.301414600349114
USC_06_73887_S20_L001_R2_001	38849393	22527110	5866258343	12334518	5726867493	2.376145778958579
USC_07_654159_S21_L001_R1_001	35560556	15955956	5369643956	6880887	5252792518	2.1761487159578072
USC_07_654159_S21_L001_R2_001	35560556	20484897	5369643956	10928528	5249670180	2.2342966681420693
USC_08_698858_S22_L001_R1_001	31947496	14632910	4824071896	6255976	4710424582	2.3558378989797712
USC_08_698858_S22_L001_R2_001	31947496	18628941	4824071896	9634123	4708863417	2.3881998752035183
USC_09_956122_S23_L001_R1_001	41873636	19071198	6322919036	8137600	6163107565	2.52749513460637
USC_09_956122_S23_L001_R2_001	41873636	24252622	6322919036	13146929	6178042861	2.291286258374288
USC_10_80403_S24_L001_R1_001	36960729	16569480	5581070079	7223632	5453580318	2.2843246760098603
USC_10_80403_S24_L001_R2_001	36960729	21222276	5581070079	11171471	5458443657	2.197184773963129
USC_11_342410_S25_L001_R1_001	44975937	20538412	6791366487	8798630	6631880627	2.348361854794422
USC_11_342410_S25_L001_R2_001	44975937	26142824	6791366487	12800059	6633460462	2.3250994524042095
USC_12_9245_S26_L001_R1_001	39032504	17563769	5893908104	7655794	5750022477	2.4412601021442732
USC_12_9245_S26_L001_R2_001	39032504	22412896	5893908104	12763518	5764045513	2.203335863208769
USC_13_292035_S1_L002_R1_001	17008230	7839899	2568242730	3984772	2502044346	2.577575056544597
USC_13_292035_S1_L002_R2_001	17008230	9976884	2568242730	5527627	2504918835	2.4656507058427457
USC_14_499581_S2_L002_R1_001	21676077	9928079	3273087627	5135525	3195204793	2.379491259492638
USC_14_499581_S2_L002_R2_001	21676077	12713862	3273087627	8028310	3193767506	2.4234035271674688
USC_15_569476_S3_L002_R1_001	20983025	9607252	3168436775	4855401	3091453656	2.429687712484021
USC_15_569476_S3_L002_R2_001	20983025	12327132	3168436775	6661567	3091330469	2.433575654985257
USC_16_399512_S4_L002_R1_001	21145467	9835527	3192965517	4979903	3100746351	2.8881979936521813
USC_16_399512_S4_L002_R2_001	21145467	12408306	3192965517	7186022	3111462371	2.5525845977997763
USC_17_144754_S5_L002_R1_001	31025285	14497408	4684818035	7162525	4555034714	2.7702958798057136
USC_17_144754_S5_L002_R2_001	31025285	18397182	4684818035	11566830	4560177534	2.660519577683021
USC_18_468113_S6_L002_R1_001	34177814	15808946	5160849914	7871832	5018696433	2.7544587300315744
USC_18_468113_S6_L002_R2_001	34177814	20061446	5160849914	11471858	5034687141	2.4446123235972097
USC_19_844800_S7_L002_R1_001	24305400	11400154	3670115400	5603872	3558521973	3.0405972248175086
USC_19_844800_S7_L002_R2_001	24305400	14336121	3670115400	8620273	3574527891	2.6044823822161014
USC_20_272703_S8_L002_R1_001	22484597	10606994	3395174147	5245782	3265715188	3.8130285338792076
USC_20_272703_S8_L002_R2_001	22484597	13138576	3395174147	9554421	3306446616	2.6133425608933867
USC_21_549053_S9_L002_R1_001	28283877	13101728	4270865427	6725185	4160302018	2.588782318005826
USC_21_549053_S9_L002_R2_001	28283877	16701015	4270865427	11765661	4158892441	2.6217867997459616
USC_22_884082_S10_L002_R1_001	30641221	14275622	4626824371	7208565	4506903184	2.591868145063853
USC_22_884082_S10_L002_R2_001	30641221	18158075	4626824371	10206753	4506419375	2.602324755499132
USC_23_532825_S11_L002_R1_001	21677999	10160953	3273377849	5197581	3187416032	2.6260890421269543
USC_23_532825_S11_L002_R2_001	21677999	12871106	3273377849	7167312	3186459323	2.655316007180569
USC_24_331011_S12_L002_R1_001	26898991	12599680	4061747641	6186176	3954337433	2.644433320174359
USC_24_331011_S12_L002_R2_001	26898991	15999100	4061747641	9241942	3953058138	2.6759294916028
