Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	Bismark_mqc-generalstats-bismark-aligned_reads	Bismark_mqc-generalstats-bismark-percent_aligned	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
USC_01_494147_S15_L001_R1_001	2.0783404632991305							
USC_01_494147_S15_L001_R1_001_val_1		44241124.0	84.86184644826997	53.03521847421682	23.0	147.99748651121268	27.27272727272727	52133115.0
USC_01_494147_S15_L001_R2_001	2.1583029995944263							
USC_01_494147_S15_L001_R2_001_val_2				50.414661905380505	23.0	148.13815687015824	27.27272727272727	52133115.0
USC_02_53755_S16_L001_R1_001	2.319284215390072							
USC_02_53755_S16_L001_R1_001_val_1		29580872.0	84.79632397272195	49.51286046423993	23.0	147.69276365260836	9.090909090909092	34884616.0
USC_02_53755_S16_L001_R2_001	2.355353965086405							
USC_02_53755_S16_L001_R2_001_val_2				48.406410433014294	23.0	147.8464640401947	18.181818181818183	34884616.0
USC_03_740189_S17_L001_R1_001	2.3583341946584158							
USC_03_740189_S17_L001_R1_001_val_1		28583266.0	84.93954187277184	48.651851737573736	23.0	147.64480300869147	9.090909090909092	33651307.0
USC_03_740189_S17_L001_R2_001	2.3953451666196393							
USC_03_740189_S17_L001_R2_001_val_2				47.40670866913914	23.0	147.78556155337444	9.090909090909092	33651307.0
USC_04_20438_S18_L001_R1_001	2.2180373774030793							
USC_04_20438_S18_L001_R1_001_val_1		27756639.0	84.67143413988573	46.97124810274103	23.0	147.79201360178243	9.090909090909092	32781586.0
USC_04_20438_S18_L001_R2_001	2.295962445661728							
USC_04_20438_S18_L001_R2_001_val_2				45.82585407870573	23.0	147.93670275745657	18.181818181818183	32781586.0
USC_05_495067_S19_L001_R1_001	2.284606695192931							
USC_05_495067_S19_L001_R1_001_val_1		29006280.0	84.39768997087485	46.98883164235733	23.0	147.84615831132461	9.090909090909092	34368571.0
USC_05_495067_S19_L001_R2_001	2.2738287608729695							
USC_05_495067_S19_L001_R2_001_val_2				45.49376473159777	23.0	147.98164861145958	9.090909090909092	34368571.0
USC_06_73887_S20_L001_R1_001	2.301414600349114							
USC_06_73887_S20_L001_R1_001_val_1		32963640.0	84.93603407310995	47.43535539998875	23.0	147.67253423277256	9.090909090909092	38809959.0
USC_06_73887_S20_L001_R2_001	2.376145778958579							
USC_06_73887_S20_L001_R2_001_val_2				45.69111030521115	23.0	147.80649484839702	18.181818181818183	38809959.0
USC_07_654159_S21_L001_R1_001	2.1761487159578072							
USC_07_654159_S21_L001_R1_001_val_1		30097521.0	84.72648137664116	45.491901900042954	23.0	147.87594618912954	18.181818181818183	35523157.0
USC_07_654159_S21_L001_R2_001	2.2342966681420693							
